UCBID,SiteCode,Site,Pair ,SiteType,PairID,TaxaA,Group,TaxaB,Category,SpeciesName,Rough ID, D15N, D13C, D34S
F1.0088/0083,BR,Browns,P1,Ref,P1_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,7.470100357,-29.4534053,14.55939811
F2.0238,BR,Browns,P1,Ref,P1_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,10.49878667,-23.1826535,16.44092824
F2.0261,BR,Browns,P1,Ref,P1_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,7.872016565,-27.38496626,13.46808656
F2.0287,BR,Browns,P1,Ref,P1_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,7.915102926,-26.27055439,12.92778113
F1.0287/0419/0225/0224/0471/0115/0248/0256/0473,CH,Chipps,P2,Ref,P2_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Annelid sp.,Annelida - unknown,8.76471291,-30.67695524,3.525150915
F1.0476,CH,Chipps,P2,Ref,P2_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.58956811,-27.49963816,12.79843185
F1.0466,CH,Chipps,P2,Ref,P2_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.16922388,-27.20486563,11.98885462
F1.0254/0250,CH,Chipps,P2,Ref,P2_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.3035508,-26.51609022,9.720753866
F2.0429,CH,Chipps,P2,Ref,P2_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,11.19521675,-26.22950238,12.40631056
F2.0431,CH,Chipps,P2,Ref,P2_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,11.61218259,-26.88032692,12.92908895
F1.0203,CH,Chipps,P2,Ref,P2_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,11.30846697,-22.15178829,15.15561619
F1.0197,CH,Chipps,P2,Ref,P2_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,10.36516007,-24.40443608,16.91057276
F1.0468,CH,Chipps,P2,Ref,P2_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,10.4464135,-23.59492201,14.59969927
F2.0154,CH,Chipps,P2,Ref,P2_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,11.15986031,-20.35309485,15.60668294
F2.0493,CH,Chipps,P2,Ref,P2_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,13.24200565,-24.13053652,17.83355723
F2.0515,CH,Chipps,P2,Ref,P2_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,13.44477511,-21.50947499,17.17279154
F1.0465,CH,Chipps,P2,Ref,P2_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,10.2198417,-23.26212178,19.87421082
F1.0118,CH,Chipps,P2,Ref,P2_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,12.30883333,-19.25573587,18.21401424
F2.0115,CH,Chipps,P2,Ref,P2_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,12.6907686,-18.28680342,18.33858036
F2.0386,CH,Chipps,P2,Ref,P2_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,12.11263481,-22.775748,21.08215689
F2.0423,CH,Chipps,P2,Ref,P2_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,11.58423504,-21.52851418,19.9826679
F2.0153,CH,Chipps,P2,Ref,P2_Ref,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,12.8669185,-23.09252811,13.98690546
F2.0215,CH,Chipps,P2,Ref,P2_Ref,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,14.28587873,-23.28877674,14.87852269
F2.0414,CH,Chipps,P2,Ref,P2_Ref,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,13.72519389,-23.71999074,15.25827877
F1.0221/0210,CH,Chipps,P2,Ref,P2_Ref,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,13.98127049,-24.31453831,15.42403695
F2.0388,CH,Chipps,P2,Ref,P2_Ref,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,14.25973257,-24.73086266,14.03362242
F2.0144,CH,Chipps,P2,Ref,P2_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Oligochaeta sp.,Oligochaeta - unknown,12.91249164,-26.34088055,12.39885678
F2.0389/0409/0145,CH,Chipps,P2,Ref,P2_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Oligochaeta sp.,Oligochaeta - unknown,11.93114345,-25.64802455,8.154114299
F1.0472/0255/0286,CH,Chipps,P2,Ref,P2_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Polychaeta sp. ,Polychaeta ,10.87634632,-24.36415349,9.550487821
F2.0408/0430/0427/0140,CH,Chipps,P2,Ref,P2_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Polychaeta sp. ,Polychaeta ,12.44717153,-22.84469928,12.19508131
F2.0141/0117,CH,Chipps,P2,Ref,P2_Ref,Potamocorbula amurensis,Invertebrate,Potamocorbula amurensis,Bivalve,Potamocorbula amurensis,Potamocorbula amurensis,11.67950602,-23.65718509,12.61870843
F2.0182,CH,Chipps,P2,Ref,P2_Ref,Potamocorbula amurensis,Invertebrate,Potamocorbula amurensis,Bivalve,Potamocorbula amurensis,Potamocorbula amurensis,10.37755457,-27.85155739,13.4834999
F2.0188,CH,Chipps,P2,Ref,P2_Ref,Potamocorbula amurensis,Invertebrate,Potamocorbula amurensis,Bivalve,Potamocorbula amurensis,Potamocorbula amurensis,11.45414929,-27.24078359,11.79474267
F1.0198,CH,Chipps,P2,Ref,P2_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,8.426377778,-26.81498908,16.74334609
F1.0475/0249/0234,CH,Chipps,P2,Ref,P2_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,9.168632983,-26.31029204,13.9200277
F2.0539,CH,Chipps,P2,Ref,P2_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,12.12720978,-21.94106931,15.97593097
F2.0540,CH,Chipps,P2,Ref,P2_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,10.47713436,-26.6520377,15.73166535
F1.0206/0219,CH,Chipps,P2,Ref,P2_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,8.49228703,-25.45880317,13.79392633
F2.0536,CH,Chipps,P2,Ref,P2_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,12.6017704,-24.04773828,14.63771673
F1.0305,RY,Ryer,P3,Ref,P3_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,9.813593194,-26.05982516,10.24972894
F1.0467,RY,Ryer,P3,Ref,P3_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.50061651,-26.97235529,11.50533335
F1.0410,RY,Ryer,P3,Ref,P3_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.31318835,-25.52281382,11.47741635
F2.0306,RY,Ryer,P3,Ref,P3_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.71647153,-26.14339329,10.55323585
F2.0308,RY,Ryer,P3,Ref,P3_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.79503564,-27.00448422,11.3254307
F2.0327,RY,Ryer,P3,Ref,P3_Ref,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,11.77075294,-25.83700512,13.79084105
F1.0413,RY,Ryer,P3,Ref,P3_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,11.86778317,-22.89834015,15.55276183
F1.0406,RY,Ryer,P3,Ref,P3_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,11.22282423,-22.05884408,14.98275928
F1.0304,RY,Ryer,P3,Ref,P3_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,12.67991601,-20.69266417,18.75283734
F2.0165/0297,RY,Ryer,P3,Ref,P3_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,13.79043536,-16.75753565,17.64145793
F2.0174,RY,Ryer,P3,Ref,P3_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,11.40737771,-20.76694667,17.45629085
F2.0232,RY,Ryer,P3,Ref,P3_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,12.09917572,-18.57391497,16.14577498
F2.0312/0329,RY,Ryer,P3,Ref,P3_Ref,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,13.69312063,-18.2207058,16.00811917
F1.0293,RY,Ryer,P3,Ref,P3_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,11.87325524,-16.60112023,18.73610402
F1.0313,RY,Ryer,P3,Ref,P3_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,12.16930114,-18.80179921,22.13732565
F1.0291,RY,Ryer,P3,Ref,P3_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,12.25282809,-16.44356056,18.13195721
F2.0192,RY,Ryer,P3,Ref,P3_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,11.47723223,-18.92348565,19.8268043
F2.0222,RY,Ryer,P3,Ref,P3_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,12.68020167,-18.58245037,20.60461428
F2.0325,RY,Ryer,P3,Ref,P3_Ref,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,13.7763162,-14.87181286,20.37483957
F1.0477,RY,Ryer,P3,Ref,P3_Ref,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,12.98808126,-26.96165398,15.20597927
F1.0479,RY,Ryer,P3,Ref,P3_Ref,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,12.36078382,-27.31577015,14.41344582
F2.0202,RY,Ryer,P3,Ref,P3_Ref,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,15.62890191,-23.85549472,14.08142117
F2.0216,RY,Ryer,P3,Ref,P3_Ref,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,13.77818571,-24.02671164,14.85361813
F2.0314,RY,Ryer,P3,Ref,P3_Ref,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,14.78513438,-23.71398211,15.2545876
F1.0407,RY,Ryer,P3,Ref,P3_Ref,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,12.87009074,-18.26051377,13.33335882
F2.0200,RY,Ryer,P3,Ref,P3_Ref,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,13.26048746,-16.22518299,13.17984625
F2.0234,RY,Ryer,P3,Ref,P3_Ref,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,13.24364877,-17.2290765,12.17687432
F2.0324,RY,Ryer,P3,Ref,P3_Ref,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,19.1674678,-19.14714116,13.27240452
F2.0199/0166,RY,Ryer,P3,Ref,P3_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Oligochaeta sp.,Oligochaeta - unknown,10.36424309,-22.70214042,4.985489203
F2.0218/0233,RY,Ryer,P3,Ref,P3_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Oligochaeta sp.,Oligochaeta - unknown,10.195872,-25.49549654,3.584334884
F1.0283/0268/0258/0415/0310,RY,Ryer,P3,Ref,P3_Ref,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Polychaeta sp. ,Polychaeta ,13.11690697,-24.88365359,9.559571898
F1.0463,RY,Ryer,P3,Ref,P3_Ref,Potamocorbula amurensis,Invertebrate,Potamocorbula amurensis,Bivalve,Potamocorbula amurensis,Potamocorbula amurensis,9.459712078,-26.9850023,13.50056185
F2.0168,RY,Ryer,P3,Ref,P3_Ref,Potamocorbula amurensis,Invertebrate,Potamocorbula amurensis,Bivalve,Potamocorbula amurensis,Potamocorbula amurensis,11.359193,-26.87031424,13.01791551
F2.0173,RY,Ryer,P3,Ref,P3_Ref,Potamocorbula amurensis,Invertebrate,Potamocorbula amurensis,Bivalve,Potamocorbula amurensis,Potamocorbula amurensis,11.93120704,-21.73380673,8.439214597
F2.0374,RY,Ryer,P3,Ref,P3_Ref,Potamocorbula amurensis,Invertebrate,Potamocorbula amurensis,Bivalve,Potamocorbula amurensis,Potamocorbula amurensis,11.44536572,-25.09806896,15.17729253
F1.0459,RY,Ryer,P3,Ref,P3_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,10.56788901,-20.74063537,14.81634625
F2.0201,RY,Ryer,P3,Ref,P3_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,10.82265672,-18.13925274,13.53438985
F2.0219,RY,Ryer,P3,Ref,P3_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,11.56116525,-24.22941436,15.0948381
F2.0226/0358,RY,Ryer,P3,Ref,P3_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,11.74046225,-19.88386142,15.26693229
F2.0335/0317/0369,RY,Ryer,P3,Ref,P3_Ref,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,11.43157084,-22.56157539,15.3454996
F1.0035/0047/0036,SH,Sherman,P1,Res,P1_Res,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Annelid sp.,Annelida - unknown,10.74870717,-27.24086096,4.946490471
F1.0403,SH,Sherman,P1,Res,P1_Res,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.59739297,-28.71958783,3.429748191
F1.0389,SH,Sherman,P1,Res,P1_Res,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,11.2236028,-27.14844053,4.880483781
F2.0401,SH,Sherman,P1,Res,P1_Res,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.62932013,-24.61145246,11.16580235
F2.0485,SH,Sherman,P1,Res,P1_Res,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.6490409,-26.51085884,11.39330974
F2.0487,SH,Sherman,P1,Res,P1_Res,Corbicula fluminea,Invertebrate,Corbicula fluminea,Bivalve,Corbicula fluminea,Corbicula fluminea,10.89393118,-25.85302542,13.11950479
F1.0072,SH,Sherman,P1,Res,P1_Res,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,10.6390359,-26.51317025,11.67539347
F1.0067,SH,Sherman,P1,Res,P1_Res,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,10.71554201,-29.43841429,12.8203076
F1.0425/0427,SH,Sherman,P1,Res,P1_Res,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,11.73465636,-24.43841568,12.0428323
F2.0462,SH,Sherman,P1,Res,P1_Res,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,10.7743155,-25.78727989,18.22631637
F2.0529,SH,Sherman,P1,Res,P1_Res,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,12.26633101,-22.30711676,17.84578286
F2.0531,SH,Sherman,P1,Res,P1_Res,Gammarus sp. ,Invertebrate,Gammarus sp. ,Amphipod,Gammarus sp. ,Gammarus New,10.38091581,-22.08866713,17.33715375
F1.0061,SH,Sherman,P1,Res,P1_Res,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,10.79639191,-25.16198134,15.5136235
F1.0383,SH,Sherman,P1,Res,P1_Res,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,12.53433515,-25.38595017,12.43041214
F2.0377,SH,Sherman,P1,Res,P1_Res,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,10.74112689,-19.51637264,18.94504377
F2.0481,SH,Sherman,P1,Res,P1_Res,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,11.61993577,-22.21863659,17.96927622
F2.0511,SH,Sherman,P1,Res,P1_Res,Gnorimosphaeroma oregonense,Invertebrate,Gnorimosphaeroma oregonense,Isopod,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,11.74188984,-21.61903383,18.93991312
F1.0434,SH,Sherman,P1,Res,P1_Res,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,10.27243817,-28.439408,6.443139455
F2.0512,SH,Sherman,P1,Res,P1_Res,Mysida,Invertebrate,Mysida,Mysid,Mysida,Mysida,13.86825247,-22.23558415,14.45767477
F2.0458,SH,Sherman,P1,Res,P1_Res,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,15.9330953,-24.20249765,12.86532026
F2.0513,SH,Sherman,P1,Res,P1_Res,Nereididae,Invertebrate,Nereididae,Annelid ,Nereididae,Nereididae,14.76184082,-25.08177678,17.30715591
F1.0402,SH,Sherman,P1,Res,P1_Res,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Oligochaeta sp.,Oligochaeta - unknown,14.52822939,-26.90425603,4.168890412
F2.0392,SH,Sherman,P1,Res,P1_Res,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Oligochaeta sp.,Oligochaeta - unknown,12.22345993,-22.47484378,6.852226127
F2.0473,SH,Sherman,P1,Res,P1_Res,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Oligochaeta sp.,Oligochaeta - unknown,12.00571398,-27.38863833,0.542900625
F2.0478,SH,Sherman,P1,Res,P1_Res,Annelid (non-nereid),Invertebrate,Annelid (non-nereid),Annelid ,Oligochaeta sp.,Oligochaeta - unknown,11.51624535,-27.79338586,13.55108344
F2.0484,SH,Sherman,P1,Res,P1_Res,Potamocorbula amurensis,Invertebrate,Potamocorbula amurensis,Bivalve,Potamocorbula amurensis,Potamocorbula amurensis,11.14481348,-23.96863807,13.35754261
F1.0411,SH,Sherman,P1,Res,P1_Res,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,9.399127656,-26.05144741,9.316969664
F1.0430,SH,Sherman,P1,Res,P1_Res,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,12.31302479,-24.29949907,10.94347361
F1.0041/0455/0045/0399/0378,SH,Sherman,P1,Res,P1_Res,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,10.19737307,-25.1531321,9.454384559
F2.0376,SH,Sherman,P1,Res,P1_Res,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,8.72427324,-25.92411549,13.97598958
F2.0532,SH,Sherman,P1,Res,P1_Res,Sinocorophium sp.,Invertebrate,Sinocorophium sp.,Amphipod,Sinocorophium,Sinocorophium,10.79606067,-22.78313614,14.05785975
